Provinsi;Total;PLTA;PLTU;PLTG;PLTGU;PLTP;PLTD;PLTMG;PLTMH;Surya;Lainnya
Aceh;421.51;7.93;93.97;9.2;0;0;182.87;126.81;0.73;0;0
Sumatera Utara;20667.17;6749.31;7532.59;92.77;1155.18;2006.91;109.8;2871.23;87.83;0;61.54
Sumatera Barat;948.92;0.59;0;0;0;675.36;114.03;0;158.87;0.07;0
Riau;716.38;0;2.95;122.4;0;0;396.46;194.16;0;0;0.42
Jambi;85.54;0;0;0;0;0;0;85.54;0;0;0
Sumatera Selatan;16849.8;3099.7;9134.11;509.84;2069.6;835.58;5.93;1192.61;2.44;0;0
Bengkulu;158.67;63.86;0;0;0;0;94.81;0;0;0;0
Lampung;41.55;0;6.3;0;0;34.12;1.13;0;0;0;0
Bangka Belitung;830.12;0;543.82;0;0;0;259.43;0;0;0.07;26.8
Kepulauan Riau;3196.39;0;311.07;2121.88;361.07;0;297.46;104.73;0;0.18;0
DKI Jakarta;15970.27;0;744.21;0;15216.56;0;9.49;0;0;0;0
Jawa Barat;41063.3;5207.58;19674.62;1158.62;5844.9;8948.04;135.48;0;77.75;0;16.21
Jawa Tengah;41715.18;921.01;39273.32;0;1016.19;361.34;0;0;123.32;0;0
D.I Yogyakarta;0;0;0;0;0;0;0;0;0;0;0
Jawa Timur;57546.18;1116.98;48289.02;899.51;7160.33;0;58.57;21.25;0.1;0.42;0
Banten;44485.27;0;41764.24;0;2718.95;0;2.08;0;0;0;0
Bali;4728.36;0;3051.81;653.17;0;0;68.68;944.68;6.94;0;3.08
Nusa Tenggara Barat;2345.16;5.28;745.59;0;0;0;509.94;1041.63;41.83;0.89;0
Nusa Tenggara Timur;954.03;13.21;283.95;0;0;111.53;308.77;234.65;0;1.92;0
Kalimantan Barat;234.34;0.53;7.01;23.49;0;0;168.77;0;21.68;0.01;12.85
Kalimantan Tengah;49.85;0;0;0;0;0;49.85;0;0;0;0
Kalimantan Selatan;7044.68;161.14;4249.89;248.25;8.78;0;1009.13;1317.8;0;0.08;49.62
Kalimantan Timur;1944.98;0;899.66;738.29;0;0;271.24;27.85;0;0.01;7.93
Kalimantan Utara;261.92;0;0;0;0;0;68.74;193.18;0;0;0
Sulawesi Utara;908.75;18.2;733.11;0;0;0;146.61;0;10.79;0.03;0
Sulawesi Tengah;1414.47;1209.17;23.44;0;0;0;97.87;0;84;0;0
Sulawesi Selatan;8439.27;1242.12;4338.43;0;1162.96;515.39;416.12;131.94;192.79;0.42;439.1
Sulawesi Tenggara;25.73;2.88;0;0;0;0;22.78;0;0;0.07;0
Gorontalo;96.53;6.16;76.81;0;0;0;0.03;0;10.64;2.89;0
Sulawesi Barat;0;0;0;0;0;0;0;0;0;0;0
Maluku;742.73;0;90.58;0;0;0;182.91;285.73;0;0.6;182.91
Maluku Utara;126.03;0;0;0;0;0;125.54;0;0;0.49;0
Papua Barat;1064.2;55.67;0;110.04;0;0;364;534.25;0;0.24;0
Papua;522.52;18.37;0;57.76;0;0;307.34;137.98;0;1.07;0
